"station","boro","neighborhood"
"W 52 St & 11 Av","Manhattan","Clinton"
"Franklin & West Broadway","Manhattan","SoHo-Tribeca-CivcCentr-LittleItaly"
"St. James Pl & Pearl St","Manhattan","Chinatown"
"Atlantic Av & Ft. Greene Pl","Brooklyn","Fort Greene"
"W 17 Street & 8 Avenue","Manhattan","HudsnYds-Chelsea-Flatirn-UnionSq"
"Park Av & St. Edward's St","Brooklyn","Fort Greene"
"Lexington Av & Classon Av","Brooklyn","Bedford"
"Barrow St & Hudson St","Manhattan","West Village"
"MacDougal St & Prince St","Manhattan","SoHo-Tribeca-CivcCentr-LittleItaly"
"Henry St & Grand St","Manhattan","Lower East Side"
"Clinton St & Joralemon St","Brooklyn","Brooklyn Heights - Cobble"
"Nassau St & Navy St","Brooklyn","DUMBO-VingrHl-DwntnBrkl-BoermHl"
"Hudson St and Reade St","Manhattan","SoHo-Tribeca-CivcCentr-LittleItaly"
"Greenwich St & Warren St","Manhattan","SoHo-Tribeca-CivcCentr-LittleItaly"
"E 2 Street & Avenue C","Manhattan","Lower East Side"
"Cleveland Pl & Spring St","Manhattan","SoHo-Tribeca-CivcCentr-LittleItaly"
"Warren St & Church St","Manhattan","SoHo-Tribeca-CivcCentr-LittleItaly"
"Henry St & Atlantic Av","Brooklyn","Brooklyn Heights - Cobble"
"LaGuardia Pl & W 3 St","Manhattan","West Village"
"E 47 Street and 2 Avenue","Manhattan","Turtle Bay - East Midtown"
"E 39 St & 3 Av","Manhattan","Murray Hill - Kips Bay"
"W 18 St & 6 Av","Manhattan","HudsnYds-Chelsea-Flatirn-UnionSq"
"E 25 Street and 1 Avenue","Manhattan","Murray Hill - Kips Bay"
"Liberty St & Broadway","Manhattan","BatteryParkCity-LowerManhattan"
"W 16 St and the High Line","Manhattan","HudsnYds-Chelsea-Flatirn-UnionSq"
"Columbia Hts & Cranberry","Brooklyn","Brooklyn Heights - Cobble"
"Old Fulton Street","Brooklyn","DUMBO-VingrHl-DwntnBrkl-BoermHl"
"Gallatin Pl & Livingston St","Brooklyn","DUMBO-VingrHl-DwntnBrkl-BoermHl"
"W 13 Street and 7 Avenue","Manhattan","West Village"
"Spruce St & Nassau St","Manhattan","BatteryParkCity-LowerManhattan"
"W 14 St & the High Line","Manhattan","West Village"
"Great Jones Street","Manhattan","West Village"
"Cadman Plz E & Tillary","Brooklyn","DUMBO-VingrHl-DwntnBrkl-BoermHl"
"Joralemon St & Adams St","Brooklyn","DUMBO-VingrHl-DwntnBrkl-BoermHl"
"St. Mark's Pl & 2 Av","Manhattan","East Village"
"E 11 Street & 2 Avenue","Manhattan","East Village"
"Bank St & Washington St","Manhattan","West Village"
"Wiloughby St & Fleet St","Brooklyn","Fort Greene"
"Flushing Av & Carlton Av","Brooklyn","Fort Greene"
"Flatbush Av & Fulton St","Brooklyn","Fort Greene"
"Willoughby Av & Hall St","Brooklyn","Clinton Hill"
"Myrtle Av & St. Edward's St","Brooklyn","Fort Greene"
"Perry St and Bleecker St","Manhattan","West Village"
"Laight St & Hudson St","Manhattan","SoHo-Tribeca-CivcCentr-LittleItaly"
"Harrison St and Hudson St","Manhattan","SoHo-Tribeca-CivcCentr-LittleItaly"
"Lafayette St & Jersey St","Manhattan","SoHo-Tribeca-CivcCentr-LittleItaly"
"Mott St & Prince St","Manhattan","SoHo-Tribeca-CivcCentr-LittleItaly"
"MacDougal St & Washington Sq","Manhattan","West Village"
"W 13 Street & 5 Avenue","Manhattan","West Village"
"W 11 Street & 6 Avenue","Manhattan","West Village"
"Clinton St & Tillary St","Brooklyn","Brooklyn Heights - Cobble"
"Lispenard St & Broadway","Manhattan","SoHo-Tribeca-CivcCentr-LittleItaly"
"DeKalb Av & Vanderbilt Av","Brooklyn","Clinton Hill"
"South St and Whitehall St","Manhattan","park_cemetery_etc_MN"
"Broad St and Bridge St","Manhattan","BatteryParkCity-LowerManhattan"
"Johnson St & Gold St","Brooklyn","DUMBO-VingrHl-DwntnBrkl-BoermHl"
"Washington Park","Brooklyn","Fort Greene"
"Maiden Lane & Pearl St","Manhattan","BatteryParkCity-LowerManhattan"
"Stanton St & Chrystie St","Manhattan","Chinatown"
"Avenue D & E 8 Street","Manhattan","Lower East Side"
"Broadway & W 36 St","Manhattan","Midtown - Midtown South"
"Howard St & Centre St","Manhattan","SoHo-Tribeca-CivcCentr-LittleItaly"
"Adelphi St & Myrtle Av","Brooklyn","Fort Greene"
"Ashland Pl & Hanson Pl","Brooklyn","Fort Greene"
"Lafayette Av & Ft. Greene Pl","Brooklyn","Fort Greene"
"Washington Av & Greene Av","Brooklyn","Clinton Hill"
"Duane St & Greenwich St","Manhattan","SoHo-Tribeca-CivcCentr-LittleItaly"
"Concord St & Bridge St","Brooklyn","DUMBO-VingrHl-DwntnBrkl-BoermHl"
"Sands St & Gold St","Brooklyn","DUMBO-VingrHl-DwntnBrkl-BoermHl"
"E 10 Street & 5 Avenue","Manhattan","West Village"
"Kent & S 11","Brooklyn","North Side - South Side"
"Broadway and E 14 Street","Manhattan","West Village"
"Monroe St & Classon Av","Brooklyn","Clinton Hill"
"2 Avenue & E 58 Street","Manhattan","Turtle Bay - East Midtown"
"Gouverneur St & Madison St","Manhattan","Lower East Side"
"Lafayette St & E 8 St","Manhattan","West Village"
"Washington Square East","Manhattan","West Village"
"Pike St & East Broadway","Manhattan","Chinatown"
"Division Street & Bowery","Manhattan","Chinatown"
"3rd Avenue & Flatbush Avenue","Brooklyn","DUMBO-VingrHl-DwntnBrkl-BoermHl"
"Cooper Sq & E 7 St","Manhattan","East Village"
"E 2 Street & Avenue B","Manhattan","East Village"
"Avenue D & E 3 Street","Manhattan","Lower East Side"
"Mercer St & Spring St","Manhattan","SoHo-Tribeca-CivcCentr-LittleItaly"
"Broadway & Battery Pl","Manhattan","BatteryParkCity-LowerManhattan"
"E 58 Street and 3 Avenue","Manhattan","Turtle Bay - East Midtown"
"Cliff St & Fulton St","Manhattan","BatteryParkCity-LowerManhattan"
"Canal St & Rutgers St","Manhattan","Lower East Side"
"St. James Pl & Oliver St","Manhattan","Chinatown"
"Murray St & West St","Manhattan","SoHo-Tribeca-CivcCentr-LittleItaly"
"State St & Smith St","Brooklyn","DUMBO-VingrHl-DwntnBrkl-BoermHl"
"Norfolk St & Broome St","Manhattan","Chinatown"
"Allen St & E Houston St","Manhattan","Chinatown"
"Washington Av & Park Av","Brooklyn","park_cemetery_etc_BK"
"Montague St & Clinton St","Brooklyn","Brooklyn Heights - Cobble"
"South St & Gouverneur La","Manhattan","park_cemetery_etc_MN"
"Fulton St and William St","Manhattan","BatteryParkCity-LowerManhattan"
"E 6 Street & Avenue B","Manhattan","East Village"
"E 43 St & Vanderbilt Av","Manhattan","Midtown - Midtown South"
"Park Pl & Church S","Manhattan","SoHo-Tribeca-CivcCentr-LittleItaly"
"Church St & Leonard St","Manhattan","SoHo-Tribeca-CivcCentr-LittleItaly"
"Cadman Plz E & Red Cross","Brooklyn","DUMBO-VingrHl-DwntnBrkl-BoermHl"
"Lawrence Street & Willoughby Street","Brooklyn","DUMBO-VingrHl-DwntnBrkl-BoermHl"
"DeKalb Av & Hudson Av","Brooklyn","Fort Greene"
"E 19 Street and 3 Avenue","Manhattan","Gramercy"
"E 11 Street & 1 Avenue","Manhattan","East Village"
"Watts St & Greenwich St","Manhattan","SoHo-Tribeca-CivcCentr-LittleItaly"
"Greenwich St & N Moore St","Manhattan","SoHo-Tribeca-CivcCentr-LittleItaly"
"Reade Street & Broadway","Manhattan","SoHo-Tribeca-CivcCentr-LittleItaly"
"Pike St & Monroe St","Manhattan","Lower East Side"
