"stationName","time","availableDocks","totalDocks","availableBikes","latitude","longitude"
"W 52 St & 11 Av","2013-06-05 12:12:01 AM","5","39","25","40.76727216","-73.99392888"
"Franklin & West Broadway","2013-06-05 12:12:01 AM","25","33","7","40.71911552","-74.00666661"
"St. James Pl & Pearl St","2013-06-05 12:12:01 AM","8","26","18","40.71117416","-74.00016545"
"Atlantic Av & Ft. Greene Pl","2013-06-05 12:12:01 AM","0","62","7","40.68382604","-73.97632328"
"W 17 Street & 8 Avenue","2013-06-05 12:12:01 AM","18","39","16","40.74177603","-74.00149746"
"Park Av & St. Edward's St","2013-06-05 12:12:01 AM","9","19","9","40.69608941","-73.97803415"
"Lexington Av & Classon Av","2013-06-05 12:12:01 AM","3","19","15","40.68676793","-73.95928168"
"Barrow St & Hudson St","2013-06-05 12:12:01 AM","4","31","24","40.73172428","-74.00674436"
"MacDougal St & Prince St","2013-06-05 12:12:01 AM","7","30","20","40.72710258","-74.00297088"
"Henry St & Grand St","2013-06-05 12:12:01 AM","13","30","15","40.71425541","-73.98130841"
"Clinton St & Joralemon St","2013-06-05 12:12:01 AM","1","25","21","40.69239502","-73.99337909"
"Nassau St & Navy St","2013-06-05 12:12:01 AM","8","19","9","40.69839895","-73.98068914"
"Hudson St and Reade St","2013-06-05 12:12:01 AM","23","39","11","40.71625008","-74.0091059"
"Greenwich St & Warren St","2013-06-05 12:12:01 AM","25","33","6","40.71542197","-74.01121978"
"E 2 Street & Avenue C","2013-06-05 12:12:01 AM","3","31","27","40.7208736","-73.98085795"
"Cleveland Pl & Spring St","2013-06-05 12:12:01 AM","29","33","1","40.7218158","-73.99720307"
"Warren St & Church St","2013-06-05 12:12:01 AM","8","29","19","40.71473993","-74.00910627"
"Henry St & Atlantic Av","2013-06-05 12:12:01 AM","0","23","19","40.69089272","-73.99612349"
"LaGuardia Pl & W 3 St","2013-06-05 12:12:01 AM","16","35","15","40.72917025","-73.99810231"
"E 47 Street and 2 Avenue","2013-06-05 12:12:01 AM","43","47","4","40.75323098","-73.97032517"
"E 39 St & 3 Av","2013-06-05 12:12:01 AM","41","45","3","40.7489006","-73.97604882"
"W 18 St & 6 Av","2013-06-05 12:12:01 AM","46","47","0","40.73971301","-73.99456405"
"E 25 Street and 1 Avenue","2013-06-05 12:12:01 AM","18","30","8","40.7381765","-73.97738662"
"Liberty St & Broadway","2013-06-05 12:12:01 AM","25","45","18","40.70905623","-74.01043382"
"W 16 St and the High Line","2013-06-05 12:12:01 AM","15","28","12","40.74334935","-74.00681753"
"Columbia Hts & Cranberry","2013-06-05 12:12:01 AM","7","23","14","40.70037867","-73.99548059"
"Old Fulton Street","2013-06-05 12:12:01 AM","25","39","11","40.70277159","-73.99383605"
"Gallatin Pl & Livingston St","2013-06-05 12:12:01 AM","9","39","27","40.69028437","-73.98707105"
"W 13 Street and 7 Avenue","2013-06-05 12:12:01 AM","12","33","17","40.73781509","-73.99994661"
"Spruce St & Nassau St","2013-06-05 12:12:01 AM","19","31","9","40.71146364","-74.00552427"
"W 14 St & the High Line","2013-06-05 12:12:01 AM","35","37","1","40.74195138","-74.00803013"
"Great Jones Street","2013-06-05 12:12:01 AM","23","27","3","40.72743423","-73.99379025"
"Cadman Plz E & Tillary","2013-06-05 12:12:01 AM","1","23","21","40.69597683","-73.99014892"
"Joralemon St & Adams St","2013-06-05 12:12:01 AM","27","39","12","40.69246277","-73.98963911"
"St. Mark's Pl & 2 Av","2013-06-05 12:12:01 AM","0","39","36","40.7284186","-73.98713956"
"E 11 Street & 2 Avenue","2013-06-05 12:12:01 AM","6","39","29","40.73047309","-73.98672378"
"Bank St & Washington St","2013-06-05 12:12:01 AM","4","31","23","40.7361967","-74.00859207"
"Wiloughby St & Fleet St","2013-06-05 12:12:01 AM","14","31","12","40.69196566","-73.9813018"
"Flushing Av & Carlton Av","2013-06-05 12:12:01 AM","7","23","11","40.69788349","-73.97350332"
"Flatbush Av & Fulton St","2013-06-05 12:12:01 AM","11","19","8","40.68866384","-73.98051836"
"Willoughby Av & Hall St","2013-06-05 12:12:01 AM","13","31","18","40.69196035","-73.96536851"
"Myrtle Av & St. Edward's St","2013-06-05 12:12:01 AM","5","23","15","40.69327018","-73.97703874"
"Perry St and Bleecker St","2013-06-05 12:12:01 AM","3","20","13","40.73535398","-74.00483091"
"Laight St & Hudson St","2013-06-05 12:12:01 AM","6","23","17","40.72185379","-74.00771779"
