classname	date	title	slug
Class 1	29-May	Internet sausage making basics, examples of data journalism	week1
Class 2	3-Jun	Introduction to Excel and asking data questions
Class 3	5-Jun	Mapping with Fusion Tables
Class 4	10-Jun	Annotating charts effectively
Class 5	12-Jun	Timelines for free
Class 6	17-Jun	Semi-advanced layout using CSS
Class 7	19-Jun	Basic javascript and interactivity
Class 8	24-Jun	Medium javascript
Class 9	26-Jun	Project help
Class 10	1-Jul	Project help
Class 11	3-Jul	Presentations
