"","cty","STATE","FIPS","staTeabb","county","matchfield"
"1","Aleutians East","Alaska","02013","AK","ALEUTIANS EAST","ALEUTIANS EAST AK"
"2","Aleutians West","Alaska","02016","AK","ALEUTIANS WEST","ALEUTIANS WEST AK"
"3","Anchorage","Alaska","02020","AK","ANCHORAGE","ANCHORAGE AK"
"4","Bethel","Alaska","02050","AK","BETHEL","BETHEL AK"
"5","Bristol Bay","Alaska","02060","AK","BRISTOL BAY","BRISTOL BAY AK"
"6","Denali","Alaska","02068","AK","DENALI","DENALI AK"
"7","Dillingham","Alaska","02070","AK","DILLINGHAM","DILLINGHAM AK"
"8","Fairbanks North Star","Alaska","02090","AK","FAIRBANKS NORTH STAR","FAIRBANKS NORTH STAR AK"
"9","Haines","Alaska","02100","AK","HAINES","HAINES AK"
"10","Juneau","Alaska","02110","AK","JUNEAU","JUNEAU AK"
"11","Kenai Peninsula","Alaska","02122","AK","KENAI PENINSULA","KENAI PENINSULA AK"
"12","Ketchikan Gateway","Alaska","02130","AK","KETCHIKAN GATEWAY","KETCHIKAN GATEWAY AK"
"13","Kodiak Island","Alaska","02150","AK","KODIAK ISLAND","KODIAK ISLAND AK"
"14","Lake and Peninsula","Alaska","02164","AK","LAKE AND PENINSULA","LAKE AND PENINSULA AK"
"15","Matanuska-Susitna","Alaska","02170","AK","MATANUSKA-SUSITNA","MATANUSKA-SUSITNA AK"
"16","Nome","Alaska","02180","AK","NOME","NOME AK"
"17","North Slope","Alaska","02185","AK","NORTH SLOPE","NORTH SLOPE AK"
"18","Northwest Arctic","Alaska","02188","AK","NORTHWEST ARCTIC","NORTHWEST ARCTIC AK"
"19","Prince of Wales-Outer Ketchikan","Alaska","02201","AK","PRINCE OF WALES-OUTER KETCHIKAN","PRINCE OF WALES-OUTER KETCHIKAN AK"
"20","Sitka","Alaska","02220","AK","SITKA","SITKA AK"
"21","Skagway-Hoonah-Angoon","Alaska","02232","AK","SKAGWAY-HOONAH-ANGOON","SKAGWAY-HOONAH-ANGOON AK"
"22","Southeast Fairbanks","Alaska","02240","AK","SOUTHEAST FAIRBANKS","SOUTHEAST FAIRBANKS AK"
"23","Valdez-Cordova","Alaska","02261","AK","VALDEZ-CORDOVA","VALDEZ-CORDOVA AK"
"24","Wade Hampton","Alaska","02270","AK","WADE HAMPTON","WADE HAMPTON AK"
"25","Wrangell-Petersburg","Alaska","02280","AK","WRANGELL-PETERSBURG","WRANGELL-PETERSBURG AK"
"26","Yakutat","Alaska","02282","AK","YAKUTAT","YAKUTAT AK"
"27","Yukon-Koyukuk","Alaska","02290","AK","YUKON-KOYUKUK","YUKON-KOYUKUK AK"
"28","Hawaii","Hawaii","15001","HI","HAWAII","HAWAII HI"
"29","Honolulu","Hawaii","15003","HI","HONOLULU","HONOLULU HI"
"30","Kalawao","Hawaii","15005","HI","KALAWAO","KALAWAO HI"
"31","Kauai","Hawaii","15007","HI","KAUAI","KAUAI HI"
"32","Maui","Hawaii","15009","HI","MAUI","MAUI HI"
"33","Autauga","Alabama","01001","AL","AUTAUGA","AUTAUGA AL"
"34","Baldwin","Alabama","01003","AL","BALDWIN","BALDWIN AL"
"35","Barbour","Alabama","01005","AL","BARBOUR","BARBOUR AL"
"36","Bibb","Alabama","01007","AL","BIBB","BIBB AL"
"37","Blount","Alabama","01009","AL","BLOUNT","BLOUNT AL"
"38","Bullock","Alabama","01011","AL","BULLOCK","BULLOCK AL"
"39","Butler","Alabama","01013","AL","BUTLER","BUTLER AL"
"40","Calhoun","Alabama","01015","AL","CALHOUN","CALHOUN AL"
"41","Chambers","Alabama","01017","AL","CHAMBERS","CHAMBERS AL"
"42","Cherokee","Alabama","01019","AL","CHEROKEE","CHEROKEE AL"
"43","Chilton","Alabama","01021","AL","CHILTON","CHILTON AL"
"44","Choctaw","Alabama","01023","AL","CHOCTAW","CHOCTAW AL"
"45","Clarke","Alabama","01025","AL","CLARKE","CLARKE AL"
"46","Clay","Alabama","01027","AL","CLAY","CLAY AL"
"47","Cleburne","Alabama","01029","AL","CLEBURNE","CLEBURNE AL"
"48","Coffee","Alabama","01031","AL","COFFEE","COFFEE AL"
"49","Colbert","Alabama","01033","AL","COLBERT","COLBERT AL"
"50","Conecuh","Alabama","01035","AL","CONECUH","CONECUH AL"
"51","Coosa","Alabama","01037","AL","COOSA","COOSA AL"
"52","Covington","Alabama","01039","AL","COVINGTON","COVINGTON AL"
"53","Crenshaw","Alabama","01041","AL","CRENSHAW","CRENSHAW AL"
"54","Cullman","Alabama","01043","AL","CULLMAN","CULLMAN AL"
"55","Dale","Alabama","01045","AL","DALE","DALE AL"
"56","Dallas","Alabama","01047","AL","DALLAS","DALLAS AL"
"57","DeKalb","Alabama","01049","AL","DEKALB","DEKALB AL"
"58","Elmore","Alabama","01051","AL","ELMORE","ELMORE AL"
"59","Escambia","Alabama","01053","AL","ESCAMBIA","ESCAMBIA AL"
"60","Etowah","Alabama","01055","AL","ETOWAH","ETOWAH AL"
"61","Fayette","Alabama","01057","AL","FAYETTE","FAYETTE AL"
"62","Franklin","Alabama","01059","AL","FRANKLIN","FRANKLIN AL"
"63","Geneva","Alabama","01061","AL","GENEVA","GENEVA AL"
"64","Greene","Alabama","01063","AL","GREENE","GREENE AL"
"65","Hale","Alabama","01065","AL","HALE","HALE AL"
"66","Henry","Alabama","01067","AL","HENRY","HENRY AL"
"67","Houston","Alabama","01069","AL","HOUSTON","HOUSTON AL"
"68","Jackson","Alabama","01071","AL","JACKSON","JACKSON AL"
"69","Jefferson","Alabama","01073","AL","JEFFERSON","JEFFERSON AL"
"70","Lamar","Alabama","01075","AL","LAMAR","LAMAR AL"
"71","Lauderdale","Alabama","01077","AL","LAUDERDALE","LAUDERDALE AL"
"72","Lawrence","Alabama","01079","AL","LAWRENCE","LAWRENCE AL"
"73","Lee","Alabama","01081","AL","LEE","LEE AL"
"74","Limestone","Alabama","01083","AL","LIMESTONE","LIMESTONE AL"
"75","Lowndes","Alabama","01085","AL","LOWNDES","LOWNDES AL"
"76","Macon","Alabama","01087","AL","MACON","MACON AL"
"77","Madison","Alabama","01089","AL","MADISON","MADISON AL"
"78","Marengo","Alabama","01091","AL","MARENGO","MARENGO AL"
"79","Marion","Alabama","01093","AL","MARION","MARION AL"
"80","Marshall","Alabama","01095","AL","MARSHALL","MARSHALL AL"
"81","Mobile","Alabama","01097","AL","MOBILE","MOBILE AL"
"82","Monroe","Alabama","01099","AL","MONROE","MONROE AL"
"83","Montgomery","Alabama","01101","AL","MONTGOMERY","MONTGOMERY AL"
"84","Morgan","Alabama","01103","AL","MORGAN","MORGAN AL"
"85","Perry","Alabama","01105","AL","PERRY","PERRY AL"
"86","Pickens","Alabama","01107","AL","PICKENS","PICKENS AL"
"87","Pike","Alabama","01109","AL","PIKE","PIKE AL"
"88","Randolph","Alabama","01111","AL","RANDOLPH","RANDOLPH AL"
"89","Russell","Alabama","01113","AL","RUSSELL","RUSSELL AL"
"90","St. Clair","Alabama","01115","AL","ST. CLAIR","SAINT CLAIR AL"
"91","Shelby","Alabama","01117","AL","SHELBY","SHELBY AL"
"92","Sumter","Alabama","01119","AL","SUMTER","SUMTER AL"
"93","Talladega","Alabama","01121","AL","TALLADEGA","TALLADEGA AL"
"94","Tallapoosa","Alabama","01123","AL","TALLAPOOSA","TALLAPOOSA AL"
"95","Tuscaloosa","Alabama","01125","AL","TUSCALOOSA","TUSCALOOSA AL"
"96","Walker","Alabama","01127","AL","WALKER","WALKER AL"
"97","Washington","Alabama","01129","AL","WASHINGTON","WASHINGTON AL"
"98","Wilcox","Alabama","01131","AL","WILCOX","WILCOX AL"
"99","Winston","Alabama","01133","AL","WINSTON","WINSTON AL"
"100","Apache","Arizona","04001","AZ","APACHE","APACHE AZ"
"101","Cochise","Arizona","04003","AZ","COCHISE","COCHISE AZ"
"102","Coconino","Arizona","04005","AZ","COCONINO","COCONINO AZ"
"103","Gila","Arizona","04007","AZ","GILA","GILA AZ"
"104","Graham","Arizona","04009","AZ","GRAHAM","GRAHAM AZ"
"105","Greenlee","Arizona","04011","AZ","GREENLEE","GREENLEE AZ"
"106","La Paz","Arizona","04012","AZ","LA PAZ","LA PAZ AZ"
"107","Maricopa","Arizona","04013","AZ","MARICOPA","MARICOPA AZ"
"108","Mohave","Arizona","04015","AZ","MOHAVE","MOHAVE AZ"
"109","Navajo","Arizona","04017","AZ","NAVAJO","NAVAJO AZ"
"110","Pima","Arizona","04019","AZ","PIMA","PIMA AZ"
"111","Pinal","Arizona","04021","AZ","PINAL","PINAL AZ"
"112","Santa Cruz","Arizona","04023","AZ","SANTA CRUZ","SANTA CRUZ AZ"
"113","Yavapai","Arizona","04025","AZ","YAVAPAI","YAVAPAI AZ"
"114","Yuma","Arizona","04027","AZ","YUMA","YUMA AZ"
"115","Arkansas","Arkansas","05001","AR","ARKANSAS","ARKANSAS AR"
"116","Ashley","Arkansas","05003","AR","ASHLEY","ASHLEY AR"
"117","Baxter","Arkansas","05005","AR","BAXTER","BAXTER AR"
"118","Benton","Arkansas","05007","AR","BENTON","BENTON AR"
"119","Boone","Arkansas","05009","AR","BOONE","BOONE AR"
"120","Bradley","Arkansas","05011","AR","BRADLEY","BRADLEY AR"
"121","Calhoun","Arkansas","05013","AR","CALHOUN","CALHOUN AR"
"122","Carroll","Arkansas","05015","AR","CARROLL","CARROLL AR"
"123","Chicot","Arkansas","05017","AR","CHICOT","CHICOT AR"
