"","player","dob","active","dl","dltype","teamcode","salary","pos"
"1","Joel Hanrahan","Oct 6, 1981",0,1,"60-day","bos",7040000,"RP"
"2","Ryan Kalish","Mar 28, 1988",0,1,"60-day","bos",498000,"DNP"
"3","Shane Victorino","Nov 30, 1980",0,1,"15-day","bos",1.3e+07,"RF"
"4","Will Middlebrooks","Sep 9, 1988",0,1,"15-day","bos",498000,"3B"
"5","Alex Rodriguez","Jul 27, 1975",0,1,"60-day","nyy",2.9e+07,"DNP"
"6","Cesar Cabral","Feb 11, 1989",0,1,"60-day","nyy",490000,"DNP"
"7","Curtis Granderson","Mar 16, 1981",0,1,"15-day","nyy",1.5e+07,"DNP"
"8","Derek Jeter","Jun 26, 1974",0,1,"60-day","nyy",1.7e+07,"DNP"
"9","Eduardo Nunez","Jun 15, 1987",0,1,"15-day","nyy",533300,"SS"
"10","Francisco Cervelli","Mar 6, 1986",0,1,"60-day","nyy",515350,"C"
"11","Michael Pineda","Jan 18, 1989",0,1,"60-day","nyy",528475,"DNP"
"12","Brian Roberts","Oct 9, 1977",0,1,"60-day","bal",1e+07,"2B"
"13","Nolan Reimold","Oct 12, 1983",0,1,"15-day","bal",1e+06,"DH"
"14","Pedro Strop","Jun 13, 1985",0,1,"15-day","bal",502500,"RP"
"15","Tsuyoshi Wada","Feb 21, 1981",0,1,"60-day","bal",4200000,"DNP"
"16","Wei-Yin Chen","Jul 21, 1985",0,1,"15-day","bal",3655333,"SP"
"17","Wilson Betemit","Nov 2, 1981",0,1,"60-day","bal",2e+06,"DNP"
"18","Brandon Gomes","Jul 15, 1984",0,1,"15-day","tb",NA,NA
"19","David Price","Aug 26, 1985",0,1,"15-day","tb",10112500,"SP"
"20","Jeff Niemann","Feb 28, 1983",0,1,"60-day","tb",3e+06,"DNP"
"21","Juan Carlos Oviedo","Mar 15, 1982",0,1,"60-day","tb",NA,NA
"22","Brandon Morrow","Jul 26, 1984",0,1,"15-day","tor",8e+06,"SP"
"23","Brett Lawrie","Jan 18, 1990",0,1,"15-day","tor",5e+05,"3B"
"24","Darren Oliver","Oct 6, 1970",0,1,"15-day","tor",3e+06,"RP"
"25","Drew Hutchison","Aug 22, 1990",0,1,"60-day","tor",493200,"DNP"
"26","Dustin McGowan","Mar 24, 1982",0,1,"60-day","tor",1500000,"DNP"
"27","J.A. Happ","Oct 19, 1982",0,1,"60-day","tor",3700000,"SP"
"28","Jose Reyes","Jun 11, 1983",0,1,"60-day","tor",1e+07,"SS"
"29","Kyle Drabek","Dec 8, 1987",0,1,"60-day","tor",499500,"DNP"
"30","Luis Perez","Jan 20, 1985",0,1,"60-day","tor",5e+05,"DNP"
"31","Ramon Ortiz","May 23, 1973",0,1,"15-day","tor",NA,NA
"32","Sergio Santos","Jul 4, 1983",0,1,"60-day","tor",2750000,"RP"
"33","Austin Jackson","Feb 1, 1987",0,1,"15-day","det",3500000,"CF"
"34","Octavio Dotel","Nov 25, 1973",0,1,"15-day","det",3500000,"RP"
"35","Danny Duffy","Dec 21, 1988",0,1,"60-day","kc",505125,"DNP"
"36","Felipe Paulino","Oct 5, 1983",0,1,"60-day","kc",1750000,"DNP"
"37","Jarrod Dyson","Aug 15, 1984",0,1,"15-day","kc",NA,NA
"38","Darin Mastroianni","Aug 26, 1985",0,1,"60-day","min",5e+05,"LF"
"39","Tim Wood","Nov 16, 1982",0,1,"60-day","min",675000,"DNP"
"40","Trevor Plouffe","Jun 15, 1986",0,1,"15-day","min",520000,"3B"
"41","Wilkin Ramirez","Oct 25, 1985",0,1,"7-day","min",490000,"PH"
"42","Asdrubal Cabrera","Nov 13, 1985",0,1,"15-day","cle",6500000,"SS"
"43","Blake Wood","Aug 8, 1985",0,1,"60-day","cle",560000,"DNP"
"44","Brett Myers","Aug 17, 1980",0,1,"15-day","cle",7e+06,"SP"
"45","Chris Perez","Jul 1, 1985",0,1,"15-day","cle",7300000,"RP"
"46","Frank Herrmann","May 30, 1984",0,1,"60-day","cle",495500,"DNP"
"47","Josh Tomlin","Oct 19, 1984",0,1,"60-day","cle",501800,"DNP"
"48","Lou Marson","Jun 26, 1986",0,1,"15-day","cle",1e+06,"C"
"49","Dewayne Wise","Feb 24, 1978",0,1,"15-day","cws",7e+05,"CF"
"50","Gavin Floyd","Jan 27, 1983",0,1,"60-day","cws",9500000,"SP"
"51","Leyson Septimo","Jul 7, 1985",0,1,"60-day","cws",493000,"DNP"
"52","Alexi Ogando","Oct 5, 1983",0,1,"15-day","tex",506600,"SP"
"53","Colby Lewis","Aug 2, 1979",0,1,"15-day","tex",2e+06,"DNP"
"54","Ian Kinsler","Jun 22, 1982",0,1,"15-day","tex",1.3e+07,"2B"
"55","Joakim Soria","May 18, 1984",0,1,"15-day","tex",2e+06,"DNP"
"56","Justin Miller","Jun 13, 1987",0,1,"60-day","tex",NA,NA
