player,pos,salary,team
Jayson Werth,RF,16571429,WAS
Ryan Zimmerman,3B,14100000,WAS
Dan Haren,SP,1.30E+07,WAS
Rafael Soriano,RP,1.10E+07,WAS
Adam LaRoche,1B,1.00E+07,WAS
Kurt Suzuki,C,6487500,WAS
Gio Gonzalez,SP,6350000,WAS
Jordan Zimmermann,SP,5350000,WAS
Denard Span,CF,4750000,WAS
Tyler Clippard,RP,4.00E+06,WAS
Stephen Strasburg,SP,3900000,WAS
Ian Desmond,SS,3800000,WAS
Drew Storen,RP,2500000,WAS
Ross Detwiler,SP,2337500,WAS
Yunesky Maya,DNP,2.00E+06,WAS
Bryce Harper,LF,2.00E+06,WAS
Anthony Rendon,3B,1800000,WAS
Roger Bernadina,PH,1212500,WAS
Matt Purke,DNP,1037500,WAS
Chad Tracy,PH,1.00E+06,WAS
Craig Stammen,RP,875000,WAS
Zach Duke,RP,7.00E+05,WAS
Danny Espinosa,2B,526250,WAS
Ryan Mattheus,RP,504500,WAS
Steve Lombardozzi,PH,501250,WAS
Wilson Ramos,C,501250,WAS
Henry Rodriguez,RP,501000,WAS
Tyler Moore,PH,493000,WAS
Christian Garcia,DNP,491000,WAS
Jose Bautista,RF,1.40E+07,TOR
Josh Johnson,SP,13750000,TOR
Mark Buehrle,SP,1.20E+07,TOR
Jose Reyes,SS,1.00E+07,TOR
Edwin Encarnacion,1B,8.00E+06,TOR
Melky Cabrera,LF,8.00E+06,TOR
Brandon Morrow,SP,8.00E+06,TOR
Ricky Romero,SP,7750000,TOR
R.A. Dickey,SP,5250000,TOR
Adam Lind,DH,5150000,TOR
Colby Rasmus,CF,4675000,TOR
Casey Janssen,RP,3900000,TOR
J.A. Happ,SP,3700000,TOR
Darren Oliver,RP,3.00E+06,TOR
Maicer Izturis,2B,3.00E+06,TOR
Sergio Santos,RP,2750000,TOR
Emilio Bonifacio,2B,2600000,TOR
Rajai Davis,RF,2500000,TOR
Dustin McGowan,DNP,1500000,TOR
Josh Thole,DNP,1250000,TOR
Henry Blanco,C,750000,TOR
Mark DeRosa,3B,750000,TOR
Brett Cecil,RP,510000,TOR
Esmil Rogers,RP,509000,TOR
J.P. Arencibia,C,505600,TOR
Luis Perez,DNP,5.00E+05,TOR
Brett Lawrie,3B,5.00E+05,TOR
Kyle Drabek,DNP,499500,TOR
Steve Delabar,RP,498900,TOR
Michael Schwimer,DNP,496500,TOR
Jeremy Jeffress,RP,495900,TOR
Aaron Loup,RP,494200,TOR
Drew Hutchison,DNP,493200,TOR
Adrian Beltre,3B,1.60E+07,TEX
Ian Kinsler,2B,1.30E+07,TEX
Nelson Cruz,RF,10750000,TEX
Lance Berkman,DH,1.00E+07,TEX
Yu Darvish,SP,9500000,TEX
A.J. Pierzynski,C,7500000,TEX
Joe Nathan,RP,7.00E+06,TEX
David Murphy,LF,5775000,TEX
Matt Harrison,SP,5200000,TEX
Elvis Andrus,SS,5050000,TEX
Leonys Martin,CF,3250000,TEX
Derek Holland,SP,3200000,TEX
Neftali Feliz,DNP,2900000,TEX
Geovany Soto,C,2750000,TEX
Colby Lewis,DNP,2.00E+06,TEX
Joakim Soria,DNP,2.00E+06,TEX
Jeff Baker,LF,1750000,TEX
Jason Frasor,RP,1500000,TEX
Derek Lowe,RP,1250000,TEX
Alexi Ogando,SP,506600,TEX
Mitch Moreland,1B,502700,TEX
Craig Gentry,CF,501000,TEX
Robbie Ross,RP,497400,TEX
Julio Borbon,DH,496000,TEX
Michael Kirkman,RP,495800,TEX
Tanner Scheppers,RP,493600,TEX
Martin Perez,DNP,492000,TEX
Joe Ortiz,RP,490000,TEX
Leury Garcia,SS,490000,TEX
David Price,SP,10112500,TBA
Evan Longoria,3B,6.00E+06,TBA
Ben Zobrist,RF,5640475,TBA
Yunel Escobar,SS,5.00E+06,TBA
Roberto Hernandez,SP,3250000,TBA
Joel Peralta,RP,3.00E+06,TBA
Jeff Niemann,DNP,3.00E+06,TBA
Ryan Roberts,2B,2950000,TBA
Luke Scott,DH,2750000,TBA
Fernando Rodney,RP,2500000,TBA
Kelly Johnson,LF,2450000,TBA
Matt Joyce,RF,2450000,TBA
James Loney,1B,2.00E+06,TBA
Jose Molina,C,1800000,TBA
Kyle Farnsworth,RP,1250000,TBA
Matt Moore,SP,1100000,TBA
Sean Rodriguez,LF,1.00E+06,TBA
Jamey Wright,RP,9.00E+05,TBA
Sam Fuld,LF,725000,TBA
Shelley Duncan,DH,550000,TBA
Jake McGee,RP,506200,TBA
Jeremy Hellickson,SP,503000,TBA
Alex Cobb,SP,502200,TBA
Desmond Jennings,CF,501800,TBA
Cesar Ramos,RP,501300,TBA
Jose Lobaton,C,496500,TBA
Juan Oviedo,DNP,490000,TBA
Matt Holliday,LF,1.70E+07,SLN
Yadier Molina,C,14200000,SLN
Carlos Beltran,RF,1.30E+07,SLN
Chris Carpenter,DNP,12500000,SLN
Adam Wainwright,SP,1.20E+07,SLN
Jake Westbrook,SP,8750000,SLN
Rafael Furcal,DNP,7500000,SLN
Jaime Garcia,SP,5875000,SLN
Jason Motte,DNP,4500000,SLN
Edward Mujica,RP,3200000,SLN
