"","zip","name","addr","lat","lng","city"
"1",10069,"FRIENDLY DRUGS","1036 MAIN ST",40.808876,-73.076767,"HOLBROOK"
"2",11161,"HOLBROOK PHARMACY","233 UNION AVE",40.8118987,-73.0842145,"HOLBROOK"
"3",10939,"NEILS PHARMACY INC","712 PORTION ROAD",40.8321325,-73.0825293,"RONKONKOMA"
"4",69354,"Medford Chemists Inc.","2608 Rt 112",40.8192612,-72.9991904,"Medford"
"5",11224,"HAVEN DRUGS INC","76 SOUTHAVEN AVE",40.800808,-73.00381,"MEDFORD"
"6",11328,"SELDEN PHARMACY","1224 B MIDDLE COUNTRY RD",40.8625148,-73.0562077,"SELDEN"
"7",10138,"SLATERS PHARMACY INC","407 HAWKINS AVE",40.8239842,-73.1075585,"LAKE RONKONKOMA"
"8",10445,"CENTEREACH PHARMACY","2155 MIDDLE COUNTRY RD",40.8584441,-73.0825957,"CENTEREACH"
"9",21189,"MEDICAL GROUP PHARMACY","650 HAWKINS AVE",40.831234,-73.109243,"LAKE RONKONKOMA"
"10",72376,"Walgreen Eastern Co Inc","286 W Main St",40.764189,-73.023639,"Patchogue"
"11",11348,"QUALITY PHARMACY","249 MIDDLE COUNTRY ROAD",40.8686421,-73.011964,"SELDEN"
"12",69485,"Popular Pharmacy Inc","350-8 E Main St",40.7656903,-73.014821,"Patchogue"
"13",69734,"Pharmacy Solution Services Llc","140 Keyland Court",40.7767883,-73.0988417,"Bohemia"
"14",11177,"LIGHTHOUSE PHARMACY","747 MONTAUK HIGHWAY",40.7600328,-73.031325,"PATCHOGUE"
"15",20734,"YORE X DRUGS","1850 P RT 112",40.8687165,-73.0042177,"CORAM"
"16",21262,"LAKELAND PHARMACY","886 JOHNSON ST",40.807226,-73.123504,"RONKONKOMA"
"17",11387,"PRESCRIPTION DEN PHARMACY","239 BOYLE RD",40.880803,-73.0513409,"SELDEN"
"18",11134,"SUNRISE PHARMACY","285 SILLS RD BLDG 8B",40.780126,-72.97434,"EAST PATCHOGUE"
"19",10452,"PRESCRIPTION CENTRE","35H MIDDLE COUNTRY RD H",40.8744892,-72.9782955,"CORAM"
"20",10627,"REAL PHARMACY","260 SMITHTOWN BLVD",40.8323729,-73.1446969,"NESCONSET"
"41",2725,"FORT HILL PHARMACY INC","116 FORT HILL RD",41.3463626,-72.0277622,"GROTON"
"42",18709,"MCQUADES PHARMACY INC","10 CLARA DR",41.3723319,-71.954706,"MYSTIC"
"43",18717,"MCQUADES SPECIALTY PHARMACY","10 CLARA DRIVE",41.3723319,-71.954706,"MYSTIC"
"44",65881,"Genoa Healthcare Of Connecticut,  Llc","165 State St",41.3546218,-72.0961139,"New London"
"45",14345,"MCQUADE MARKET PLACE PHARMACY","106 MAIN ST",41.374724,-71.830614,"WESTERLY"
"46",2710,"GREENVILLE DRUG STORE INC","213 CENTRAL AVE",41.5335073,-72.0567041,"NORWICH"
"47",2711,"UTLEY AND JONES PHARMACY","112 LAFAYETTE ST",41.5410899,-72.0880566,"NORWICH"
"48",2756,"UNCAS PHARMACY","20 TOWN ST",41.5458557,-72.0900157,"NORWICH"
"49",14349,"OCEAN HEALTHMART PHARMACY","3986 OLD POST RD",41.387274,-71.624567,"CHARLESTOWN"
"50",10499,"COLONIAL DRUGS","100 FRONT ST",41.102455,-72.360635,"GREENPORT"
"51",69475,"Park Place Chemists Inc","200 Pantigo Pl",40.969135,-72.169403,"East Hampton"
"52",10740,"SHELTER ISLAND HGTS PHARMACY","19 GRAND AVE",41.0782518,-72.3518318,"SHELTER ISL HGH"
"53",10585,"EAST HAMPTON PHCY","106 N MAIN ST",40.969113,-72.181656,"E HAMPTON"
"54",2771,"JEWETT CITY PHARMACY","78 MAIN ST",41.6061132,-71.982127,"JEWETT CITY"
"55",10435,"WHITES PHARMACY","81 MAIN ST",40.962397,-72.187073,"EAST HAMPTON"
"56",20992,"SAG HARBOR PHARMACY","120 MAIN ST",40.999966,-72.295933,"SAG HARBOR"
"57",10749,"SOUTHOLD PHARMACY INC","53895 MAIN RD",41.0638662,-72.429073,"SOUTHOLD"
"58",11026,"BRIDGEHAMPTON PHARMACY","2450 MONTAUK HWY STORE B",40.9378777,-72.3009158,"BRIDGEHAMPTON"
"59",70490,"Wakefield Prescription Center Inc","580 Kingstown Rd",41.4399,-71.487667,"Wakefield"
"60",2704,"NATHAN HALE PHARMACY INC","26 FALLS RD",41.5052953,-72.4471544,"MOODUS"
"61",21052,"MAIL MED CORP","11 PENN PLAZA",40.7502925,-73.9931185,"NEW YORK"
"62",69466,"Nucare Pharmacy West Llc","250 9th Ave",40.747872,-73.999638,"New York"
"63",72535,"Moms Pharmacy Of Nyc","224 W 29th St",40.7482994,-73.9942624,"New York"
"64",69256,"Namdor Inc","227 Ninth Avenue",40.7471204,-74.0008979,"New York"
"65",10684,"GIDEON DRUGS INC","1385 BROADWAY",40.752872,-73.987864,"NEW YORK"
"66",69234,"Unite Health Center Inc","275 7th Ave",40.7457668,-73.9942771,"New York"
"67",10929,"NEW LONDON PHARMACY","246 8TH AVE",40.744863,-73.998433,"NEW YORK"
"68",10977,"THRIFTWAY PHARMACY","646 TENTH AVE",40.761845,-73.993521,"NEW YORK"
"69",20800,"CI CI PHARMACY","894 6TH AVE",40.7483636,-73.9887948,"NEW YORK"
"70",72393,"Chelsea Royal Care Pharmacy Inc","154 9th Ave",40.7442748,-74.0027682,"New York"
"71",20953,"RAPHAEL DRUG AND HEALTH LTD","1257 BROADWAY",40.7478845,-73.9883177,"NEW YORK"
"72",10154,"ESCO DRUG INC","687 9TH AVE",40.761936,-73.990444,"NEW YORK"
"73",69469,"Community Health Project Inc","356 W 18th St",40.7432016,-74.0030383,"New York"
"74",69243,"American Outcomes Management Lp","36 West 37th St",40.75091,-73.985109,"New York"
"75",10613,"CORDETTE DRUG CORPORATION","52 W 39TH ST",40.752344,-73.984673,"NEW YORK"
"76",72445,"St Lukes Roosevelt Hospital Center","230 W 17th St",40.7409869,-73.9998007,"New York"
"77",10615,"CASH RX PLUS","746 10TH AVE",40.765037,-73.991174,"NEW YORK"
"78",11377,"CAREWELL PHARMACY","767 NINTH AVE",40.764529,-73.988597,"NEW YORK"
"79",11099,"MIDTOWN EAST PHARMACY & SURGICAL LLC","161 MADISON AVE",40.74665,-73.983276,"NEW YORK"
"80",11409,"WEST 14TH ST PRESCRIPTION CTR","312 W 14TH ST",40.7400666,-74.0033274,"NEW YORK"
"81",69421,"Fulton Family Pharmacy Inc","98 East Broadway 1st Fl",40.7135097,-73.9859414,"New York"
"82",10341,"MEDILANE PHARMACY CORP","204 CLINTON ST",40.7138849,-73.9870705,"NEW YORK"
"83",21336,"EAST RX CORPORATION","215 E BROADWAY",40.714049,-73.987468,"NEW YORK"
"84",10146,"MADISON DRUGS INC","36 GOUVERNEUR ST",40.7130324,-73.9838385,"NEW YORK"
"85",10721,"CENTURY PHARMACY","225 MADISON ST",40.712992,-73.988693,"NEW YORK"
"86",11250,"LEVITT PHARMACY","407 GRAND ST",40.7159639,-73.986833,"NEW YORK"
"87",21049,"PEOPLES CHOICE PHARMACY","527 GRAND ST",40.7142989,-73.981633,"NEW YORK"
