raw	clean
501	00501
544	00544
6390	06390
10001	10001
10002	10002
10003	10003
10004	10004
10005	10005
10006	10006
10007	10007
10008	10008
10009	10009
10010	10010
10011	10011
10012	10012
10013	10013
10014	10014
10015	10015
10016	10016
10017	10017
10018	10018
10019	10019
10020	10020
10021	10021
10022	10022
10023	10023
10024	10024
10025	10025
10026	10026
10027	10027
10028	10028
10029	10029
10030	10030
10031	10031
10032	10032
10033	10033
10034	10034
10035	10035
10036	10036
10037	10037
10038	10038
10039	10039
10040	10040
10041	10041
10043	10043
10044	10044
10045	10045
10046	10046
10047	10047
10048	10048
10055	10055
10060	10060
10069	10069
10072	10072
10079	10079
10080	10080
10081	10081
10082	10082
10087	10087
10090	10090
10094	10094
10095	10095
10096	10096
10098	10098
10099	10099
10101	10101
10102	10102
10103	10103
10104	10104
10105	10105
10106	10106
10107	10107
10108	10108
10109	10109
10110	10110
10111	10111
10112	10112
10113	10113
10114	10114
10115	10115
10116	10116
10117	10117
10118	10118
10119	10119
10120	10120
10121	10121
10122	10122
10123	10123
10124	10124
10125	10125
10126	10126
10128	10128
10129	10129
10130	10130
10131	10131
10132	10132
10133	10133
10138	10138
10149	10149
10150	10150
10151	10151
10152	10152
10153	10153
10154	10154
10155	10155
10156	10156
10157	10157
10158	10158
10159	10159
10160	10160
10161	10161
10162	10162
10163	10163
10164	10164
10165	10165
10166	10166
10167	10167
10168	10168
10169	10169
10170	10170
10171	10171
10172	10172
10173	10173
10174	10174
10175	10175
10176	10176
10177	10177
10178	10178
10179	10179
10184	10184
10185	10185
10196	10196
10197	10197
10199	10199
10203	10203
10211	10211
10212	10212
10213	10213
10242	10242
10249	10249
10256	10256
10257	10257
10258	10258
10259	10259
10260	10260
10261	10261
10265	10265
10268	10268
10269	10269
10270	10270
10271	10271
10272	10272
10273	10273
10274	10274
10275	10275
10276	10276
10277	10277
10278	10278
10279	10279
10280	10280
10281	10281
10282	10282
10285	10285
10286	10286
10292	10292
10301	10301
10302	10302
10303	10303
10304	10304
10305	10305
10306	10306
10307	10307
10308	10308
10309	10309
10310	10310
10311	10311
10312	10312
10313	10313
10314	10314
10451	10451
10452	10452
10453	10453
10454	10454
10455	10455
10456	10456
10457	10457
10458	10458
10459	10459
10460	10460
10461	10461
10462	10462
10463	10463
10464	10464
10465	10465
10466	10466
10467	10467
10468	10468
10469	10469
10470	10470
10471	10471
10472	10472
10473	10473
10474	10474
10475	10475
10499	10499
10501	10501
10502	10502
10503	10503
10504	10504
10505	10505
10506	10506
10507	10507
10509	10509
10510	10510
10511	10511
10512	10512
10514	10514
10516	10516
10517	10517
10518	10518
10519	10519
10520	10520
10521	10521
10522	10522
10523	10523
10524	10524
10526	10526
10527	10527
10528	10528
10530	10530
10532	10532
10533	10533
10535	10535
10536	10536
10537	10537
10538	10538
10540	10540
10541	10541
10542	10542
10543	10543
10545	10545
10546	10546
10547	10547
10548	10548
10549	10549
10550	10550
10551	10551
10552	10552
10553	10553
10557	10557
10558	10558
10560	10560
10562	10562
10566	10566
10567	10567
10570	10570
10571	10571
10572	10572
10573	10573
10576	10576
10577	10577
10578	10578
10579	10579
10580	10580
10583	10583
10587	10587
10588	10588
10589	10589
10590	10590
10591	10591
10594	10594
10595	10595
10596	10596
10597	10597
10598	10598
10601	10601
10602	10602
10603	10603
10604	10604
10605	10605
10606	10606
10607	10607
10610	10610
10701	10701
10702	10702
10703	10703
10704	10704
10705	10705
10706	10706
10707	10707
10708	10708
10709	10709
10710	10710
10801	10801
10802	10802
10803	10803
10804	10804
10805	10805
10901	10901
10910	10910
10911	10911
10912	10912
10913	10913
10914	10914
10915	10915
10916	10916
10917	10917
10918	10918
10919	10919
10920	10920
10921	10921
10922	10922
10923	10923
10924	10924
10925	10925
10926	10926
10927	10927
10928	10928
10930	10930
10931	10931
10932	10932
10933	10933
10940	10940
10941	10941
10943	10943
10949	10949
10950	10950
10952	10952
10953	10953
10954	10954
10956	10956
10958	10958
10959	10959
10960	10960
10962	10962
10963	10963
10964	10964
10965	10965
10968	10968
10969	10969
10970	10970
10973	10973
10974	10974
10975	10975
10976	10976
10977	10977
10979	10979
10980	10980
10981	10981
10982	10982
10983	10983
10984	10984
10985	10985
10986	10986
10987	10987
10988	10988
10989	10989
10990	10990
10992	10992
10993	10993
10994	10994
10996	10996
10997	10997
10998	10998
11001	11001
11002	11002
11003	11003
11004	11004
11005	11005
11010	11010
11020	11020
11021	11021
11022	11022
11023	11023
11024	11024
11025	11025
11026	11026
11027	11027
11030	11030
11040	11040
11041	11041
11042	11042
11043	11043
11044	11044
11050	11050
11051	11051
11052	11052
11053	11053
11054	11054
11055	11055
11096	11096
11099	11099
11101	11101
11102	11102
11103	11103
11104	11104
11105	11105
11106	11106
11109	11109
11120	11120
11201	11201
11202	11202
11203	11203
11204	11204
11205	11205
11206	11206
11207	11207
11208	11208
11209	11209
11210	11210
11211	11211
11212	11212
11213	11213
11214	11214
11215	11215
11216	11216
11217	11217
11218	11218
11219	11219
11220	11220
11221	11221
11222	11222
11223	11223
11224	11224
11225	11225
11226	11226
11228	11228
11229	11229
11230	11230
11231	11231
11232	11232
11233	11233
11234	11234
11235	11235
11236	11236
11237	11237
11238	11238
11239	11239
11240	11240
11241	11241
11242	11242
11243	11243
11244	11244
11245	11245
11247	11247
11248	11248
11249	11249
11251	11251
11252	11252
11254	11254
11255	11255
11256	11256
11351	11351
11352	11352
11354	11354
11355	11355
11356	11356
11357	11357
11358	11358
11359	11359
11360	11360
11361	11361
11362	11362
11363	11363
11364	11364
11365	11365
11366	11366
11367	11367
11368	11368
11369	11369
11370	11370
11371	11371
11372	11372
11373	11373
11374	11374
11375	11375
11377	11377
11378	11378
11379	11379
11380	11380
11381	11381
11385	11385
11386	11386
11390	11390
11405	11405
11411	11411
11412	11412
11413	11413
11414	11414
11415	11415
11416	11416
11417	11417
11418	11418
11419	11419
11420	11420
11421	11421
11422	11422
11423	11423
11424	11424
11425	11425
11426	11426
11427	11427
11428	11428
11429	11429
11430	11430
11431	11431
11432	11432
11433	11433
11434	11434
11435	11435
11436	11436
11439	11439
11451	11451
11499	11499
11501	11501
11507	11507
11509	11509
11510	11510
11514	11514
11516	11516
11518	11518
11520	11520
11530	11530
11531	11531
11535	11535
11536	11536
11542	11542
11545	11545
11547	11547
11548	11548
11549	11549
11550	11550
11551	11551
11552	11552
11553	11553
11554	11554
11555	11555
11556	11556
11557	11557
11558	11558
11559	11559
11560	11560
11561	11561
11563	11563
11565	11565
11566	11566
11568	11568
11569	11569
11570	11570
11571	11571
11572	11572
11575	11575
11576	11576
11577	11577
11579	11579
11580	11580
11581	11581
11582	11582
11590	11590
11592	11592
11594	11594
11595	11595
11596	11596
11597	11597
11598	11598
11599	11599
11690	11690
11691	11691
11692	11692
11693	11693
11694	11694
11695	11695
11697	11697
11701	11701
11702	11702
11703	11703
11704	11704
11705	11705
11706	11706
11707	11707
