FID_,FID_1,DateMod,County_ID,Name,Abbreviati,Pop1990,Pop2000,SP_Zone,Shape_Leng,Shape_Area,Count_,Sum_zip,Sum_lat,Sum_lng
,0,,36019,Clinton,CLN,85969,79894,East,235424.0591,2892605148,7,85500,313.07477,-514.512176
,1,,36033,Franklin,FRK,46540,51134,East,314353.9057,4393459211,2,79971,89.304841,-148.822975
,2,,36089,St Lawrence,STL,111974,111931,East,349522.9404,7300715733,2,21711,88.854781,-150.522471
,3,,36031,Essex,ESX,37152,38851,East,332113.8481,4959991907,7,144338,309.441015,-514.870342
,4,,36045,Jefferson,JEF,110943,111738,Central,307330.0052,4547430743,4,170064,175.842236,-303.662554
,5,,36049,Lewis,LEW,26796,26944,Central,255361.895,3341957134,2,31870,87.403053,-150.86446
,6,,36041,Hamilton,HAM,5279,5379,East,327413.4222,4678074253,1,21314,43.52408,-74.386642
,7,,36113,Warren,WAR,59209,63303,East,264691.6541,2410548868,1,20875,43.316704,-73.841112
,8,,36073,Orleans,ORL,41846,44171,West,186935.6775,2108708460,3,43065,129.669748,-234.811236
,9,,36075,Oswego,OSW,121771,122377,Central,308043.6067,3628378832,8,266349,346.65995,-611.002677
,10,,36063,Niagara,NIA,220756,219846,West,261634.1647,2962365712,11,199988,474.429237,-867.202505
,11,,36117,Wayne,WYN,89123,93765,Central,254990.6934,3616044157,6,73950,258.624454,-462.262803
,12,,36115,Washington,WSH,59330,61042,East,302116.8704,2190666903,4,42423,172.599745,-293.808948
,13,,36035,Fulton,FUL,54191,55073,East,176219.9098,1379446317,3,94359,129.084323,-222.761977
,14,,36055,Monroe,MNR,713968,735343,West,268482.9471,3585762693,33,962301,1423.81841,-2560.879665
,15,,36037,Genesee,GEN,60060,60370,West,155369.4728,1283884170,3,31819,129.025584,-234.860867
,16,,36043,Herkimer,HRK,65797,64427,East,388559.4804,3771787164,1,10904,43.015505,-75.036944
,17,,36065,Oneida,OND,250836,235469,Central,304960.8244,3254196743,15,296141,647.319307,-1130.375098
,18,,36057,Montgomery,MTG,51981,49708,East,148849.019,1061911828,4,83358,171.715426,-297.13912
,19,,36067,Onondaga,ONO,468973,458336,Central,234552.3139,2085171645,12,318919,516.913045,-913.93423
,20,,36091,Saratoga,SAR,181276,200635,East,244740.0889,2184898177,4,159721,172.140953,-295.225612
,21,,36093,Schenectady,SCH,149285,146555,East,118204.0783,542641245.4,5,191602,214.017985,-369.555053
,22,,36053,Madison,MAD,69120,69441,Central,254444.8142,1711458106,2,21765,85.724465,-151.18459
,23,,36011,Cayuga,CAY,82313,81963,Central,334293.2231,2283729946,3,152210,129.138992,-229.73681
,24,,36069,Ontario,ONT,95101,100224,Central,216197.1964,1716149945,8,85560,343.2075,-617.88222
,25,,36099,Seneca,SEN,33683,33342,Central,162096.7191,1010954508,4,53558,171.443136,-307.396675
,26,,36051,Livingston,LIV,62372,64328,West,236177.6084,1658953839,4,43744,171.288828,-311.103075
,27,,36121,Wyoming,WYO,42507,43424,West,175166.0937,1545637762,3,43097,128.017599,-234.688587
,28,,36123,Yates,YAT,22810,24621,Central,141399.2081,973275276.5,2,21126,85.185421,-154.031625
,29,,36029,Erie,ERI,968532,950265,West,326996.1302,3165356618,63,1759835,2701.427456,-4963.496032
,30,,36083,Rensselaer,REN,154429,152538,East,177558.4268,1722466361,5,52910,213.389171,-367.869468
,31,,36001,Albany,ALB,292594,294565,East,166114.023,1380167298,12,266382,512.2741,-885.300636
,32,,36023,Cortland,COR,48963,48599,Central,145948.964,1297851477,0,0,0,0
,33,,36095,Schoharie,SCO,31859,31582,East,186709.4169,1620864574,1,10729,42.664907,-74.311634
,34,,36109,Tompkins,TOM,94097,96501,Central,175560.0391,1272450032,2,21816,84.972856,-153.138196
,35,,36077,Otsego,OTS,60517,61676,East,277952.2427,2626445591,3,31426,127.533989,-225.284796
,36,,36097,Schuyler,SHY,18662,19224,Central,156627.7393,886764891,2,21666,84.727796,-153.72264
,37,,36017,Chenango,CHN,51768,51401,Central,226128.7351,2326036727,6,134010,255.014005,-453.010606
,38,,36039,Greene,GRN,44739,48195,East,189446.8982,1703093060,5,188578,211.4883,-370.02482
,39,,36013,Chautauqua,CHA,141895,139750,West,248220.6564,3904907762,11,353120,464.228054,-872.807945
,40,,36003,Allegany,ALG,50470,49927,West,210629.5416,2681251776,7,86477,295.582741,-546.497767
,41,,36101,Steuben,STU,99088,98726,Central,258387.2691,3636470837,7,146963,295.993883,-541.433316
,42,,36021,Columbia,COL,62982,63094,East,184189.3897,1677986232,1,21279,42.10544,-73.547185
