"","zip","name","addr","lat","lng","city"
"1","10069","FRIENDLY DRUGS","1036 MAIN ST","40.8088760","-73.0767670","HOLBROOK"
"2","11161","HOLBROOK PHARMACY","233 UNION AVE","40.8118987","-73.0842145","HOLBROOK"
"3","10939","NEILS PHARMACY INC","712 PORTION ROAD","40.8321325","-73.0825293","RONKONKOMA"
"4","69354","Medford Chemists Inc.","2608 Rt 112","40.8192612","-72.9991904","Medford"
"5","11224","HAVEN DRUGS INC","76 SOUTHAVEN AVE","40.8008080","-73.0038100","MEDFORD"
"6","11328","SELDEN PHARMACY","1224 B MIDDLE COUNTRY RD","40.8625148","-73.0562077","SELDEN"
"7","10138","SLATERS PHARMACY INC","407 HAWKINS AVE","40.8239842","-73.1075585","LAKE RONKONKOMA"
"8","10445","CENTEREACH PHARMACY","2155 MIDDLE COUNTRY RD","40.8584441","-73.0825957","CENTEREACH"
"9","21189","MEDICAL GROUP PHARMACY","650 HAWKINS AVE","40.8312340","-73.1092430","LAKE RONKONKOMA"
"10","72376","Walgreen Eastern Co Inc","286 W Main St","40.764189","-73.023639","Patchogue"
"11","11348","QUALITY PHARMACY","249 MIDDLE COUNTRY ROAD","40.8686421","-73.0119640","SELDEN"
"12","69485","Popular Pharmacy Inc","350-8 E Main St","40.7656903","-73.014821","Patchogue"
"13","69734","Pharmacy Solution Services Llc","140 Keyland Court","40.7767883","-73.0988417","Bohemia"
"14","11177","LIGHTHOUSE PHARMACY","747 MONTAUK HIGHWAY","40.7600328","-73.0313250","PATCHOGUE"
"15","20734","YORE X DRUGS","1850 P RT 112","40.8687165","-73.0042177","CORAM"
"16","21262","LAKELAND PHARMACY","886 JOHNSON ST","40.8072260","-73.1235040","RONKONKOMA"
"17","11387","PRESCRIPTION DEN PHARMACY","239 BOYLE RD","40.8808030","-73.0513409","SELDEN"
"18","11134","SUNRISE PHARMACY","285 SILLS RD BLDG 8B","40.7801260","-72.9743400","EAST PATCHOGUE"
"19","10452","PRESCRIPTION CENTRE","35H MIDDLE COUNTRY RD H","40.8744892","-72.9782955","CORAM"
"20","10627","REAL PHARMACY","260 SMITHTOWN BLVD","40.8323729","-73.1446969","NESCONSET"
"21","10069","FRIENDLY DRUGS","1036 MAIN ST","40.8088760","-73.0767670","HOLBROOK"
"22","11161","HOLBROOK PHARMACY","233 UNION AVE","40.8118987","-73.0842145","HOLBROOK"
"23","10939","NEILS PHARMACY INC","712 PORTION ROAD","40.8321325","-73.0825293","RONKONKOMA"
"24","69354","Medford Chemists Inc.","2608 Rt 112","40.8192612","-72.9991904","Medford"
"25","11224","HAVEN DRUGS INC","76 SOUTHAVEN AVE","40.8008080","-73.0038100","MEDFORD"
"26","11328","SELDEN PHARMACY","1224 B MIDDLE COUNTRY RD","40.8625148","-73.0562077","SELDEN"
"27","10138","SLATERS PHARMACY INC","407 HAWKINS AVE","40.8239842","-73.1075585","LAKE RONKONKOMA"
"28","10445","CENTEREACH PHARMACY","2155 MIDDLE COUNTRY RD","40.8584441","-73.0825957","CENTEREACH"
